,first,last,next,prev,page,pages,count,type,id,attributes,relationships,links
0,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,,,1,1,7,genome-sets,PATRIC-IMG,{'name': 'PATRIC-IMG'},{'genomes': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/PATRIC-IMG/genomes'}}},{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/PATRIC-IMG'}
1,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,,,1,1,7,genome-sets,NCBI,{'name': 'NCBI'},{'genomes': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/NCBI/genomes'}}},{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/NCBI'}
2,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,,,1,1,7,genome-sets,HGM,{'name': 'HGM'},{'genomes': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/HGM/genomes'}}},{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/HGM'}
3,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,,,1,1,7,genome-sets,HBC,{'name': 'HBC'},{'genomes': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/HBC/genomes'}}},{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/HBC'}
4,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,,,1,1,7,genome-sets,EBI,{'name': 'EBI'},{'genomes': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/EBI/genomes'}}},{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/EBI'}
5,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,,,1,1,7,genome-sets,CIBIO,{'name': 'CIBIO'},{'genomes': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/CIBIO/genomes'}}},{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/CIBIO'}
6,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/genomeset?page=1,,,1,1,7,genome-sets,CGR,{'name': 'CGR'},{'genomes': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/CGR/genomes'}}},{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/genomeset/CGR'}
